2025-01-26 16:45:26,621 INFO    MainThread:39648 [wandb_setup.py:_flush():68] Current SDK version is 0.19.4
2025-01-26 16:45:26,622 INFO    MainThread:39648 [wandb_setup.py:_flush():68] Configure stats pid to 39648
2025-01-26 16:45:26,622 INFO    MainThread:39648 [wandb_setup.py:_flush():68] Loading settings from C:\Users\82102\.config\wandb\settings
2025-01-26 16:45:26,622 INFO    MainThread:39648 [wandb_setup.py:_flush():68] Loading settings from G:\My Drive\Git\class_10623\hw0\handout\wandb\settings
2025-01-26 16:45:26,622 INFO    MainThread:39648 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-26 16:45:26,622 INFO    MainThread:39648 [wandb_init.py:setup_run_log_directory():624] Logging user logs to G:\My Drive\Git\class_10623\hw0\handout\wandb\run-20250126_164526-o8bqf1dp\logs\debug.log
2025-01-26 16:45:26,623 INFO    MainThread:39648 [wandb_init.py:setup_run_log_directory():625] Logging internal logs to G:\My Drive\Git\class_10623\hw0\handout\wandb\run-20250126_164526-o8bqf1dp\logs\debug-internal.log
2025-01-26 16:45:26,623 INFO    MainThread:39648 [wandb_init.py:init():743] calling init triggers
2025-01-26 16:45:26,623 INFO    MainThread:39648 [wandb_init.py:init():748] wandb.init called with sweep_config: {}
config: {}
2025-01-26 16:45:26,623 INFO    MainThread:39648 [wandb_init.py:init():776] starting backend
2025-01-26 16:45:26,833 INFO    MainThread:39648 [wandb_init.py:init():780] sending inform_init request
2025-01-26 16:45:26,864 INFO    MainThread:39648 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-01-26 16:45:26,864 INFO    MainThread:39648 [wandb_init.py:init():795] backend started and connected
2025-01-26 16:45:26,865 INFO    MainThread:39648 [wandb_init.py:init():888] updated telemetry
2025-01-26 16:45:26,879 INFO    MainThread:39648 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-01-26 16:45:27,184 INFO    MainThread:39648 [wandb_init.py:init():967] starting run threads in backend
2025-01-26 16:45:27,250 INFO    MainThread:39648 [wandb_run.py:_console_start():2409] atexit reg
2025-01-26 16:45:27,251 INFO    MainThread:39648 [wandb_run.py:_redirect():2259] redirect: wrap_raw
2025-01-26 16:45:27,251 INFO    MainThread:39648 [wandb_run.py:_redirect():2324] Wrapping output streams.
2025-01-26 16:45:27,251 INFO    MainThread:39648 [wandb_run.py:_redirect():2349] Redirects installed.
2025-01-26 16:45:27,253 INFO    MainThread:39648 [wandb_init.py:init():1009] run started, returning control to user process
2025-01-26 16:46:19,226 INFO    MainThread:39648 [wandb_run.py:_finish():2134] finishing run spark_park/img_classification_project/o8bqf1dp
2025-01-26 16:46:19,227 INFO    MainThread:39648 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2025-01-26 16:46:19,227 INFO    MainThread:39648 [wandb_run.py:_restore():2356] restore
2025-01-26 16:46:19,227 INFO    MainThread:39648 [wandb_run.py:_restore():2362] restore done
2025-01-26 16:46:21,254 INFO    MainThread:39648 [wandb_run.py:_footer_history_summary_info():3976] rendering history
2025-01-26 16:46:21,254 INFO    MainThread:39648 [wandb_run.py:_footer_history_summary_info():4008] rendering summary
2025-01-26 16:46:21,254 INFO    MainThread:39648 [wandb_run.py:_footer_sync_info():3937] logging synced files
